workstation,analysis_id,analysis_date,synchronization_date,sample_code,classified_seeds,variety,percent,result_id
Deniliquin,642,2025-02-26T12:09:15Z,2025-02-26T01:10:03Z,GTAMix3,273,Spartacus CL,77,1
Deniliquin,642,2025-02-26T12:09:15Z,2025-02-26T01:10:03Z,GTAMix3,273,Bass,23,2
Deniliquin,641,2025-02-26T12:00:43Z,2025-02-26T01:01:41Z,GTAMix4,352,La Trobe,84,1
Deniliquin,641,2025-02-26T12:00:43Z,2025-02-26T01:01:41Z,GTAMix4,352,Maximus CL,16,2
Deniliquin,643,2025-02-26T12:13:48Z,2025-02-26T01:14:46Z,GTAMix5,324,La Trobe,74,1
Deniliquin,643,2025-02-26T12:13:48Z,2025-02-26T01:14:46Z,GTAMix5,324,Planet,26,2
Deniliquin,644,2025-02-26T12:25:11Z,2025-02-26T01:26:15Z,GTAMix6,268,Maximus CL,69,1
Deniliquin,644,2025-02-26T12:25:11Z,2025-02-26T01:26:15Z,GTAMix6,268,Planet,30,2
Deniliquin,645,2025-02-26T12:34:34Z,2025-02-26T01:35:39Z,GTAMix7,307,Spartacus CL,67,1
Deniliquin,645,2025-02-26T12:34:34Z,2025-02-26T01:35:39Z,GTAMix7,307,Planet,32,2
Deniliquin,647,2025-02-26T13:43:12Z,2025-02-26T02:44:04Z,GTAMix8,319,Planet,74,1
Deniliquin,647,2025-02-26T13:43:12Z,2025-02-26T02:44:04Z,GTAMix8,319,Maximus CL,25,2
Deniliquin,646,2025-02-26T13:35:46Z,2025-02-26T02:36:46Z,GTAMix9,345,Bass,61,1
Deniliquin,646,2025-02-26T13:35:46Z,2025-02-26T02:36:46Z,GTAMix9,345,La Trobe,37,2
Deniliquin,651,2025-02-26T14:19:13Z,2025-02-26T03:20:10Z,GTAPure1,303,Bass,100,1
Deniliquin,660,2025-02-26T15:31:05Z,2025-02-26T04:32:13Z,GTAPure10,284,Maximus CL,100,1
Deniliquin,663,2025-02-26T15:54:31Z,2025-02-26T04:55:16Z,GTAPure11,259,Commodus CL,99,1
Deniliquin,663,2025-02-26T15:54:31Z,2025-02-26T04:55:16Z,GTAPure11,259,Bass,1,2
Deniliquin,662,2025-02-26T15:49:53Z,2025-02-26T04:51:06Z,GTAPure12,241,Spartacus CL,100,1
Deniliquin,653,2025-02-26T14:29:18Z,2025-02-26T03:30:05Z,GTAPure2,347,La Trobe,100,1
Deniliquin,655,2025-02-26T14:44:50Z,2025-02-26T03:45:39Z,GTAPure3,256,Maximus CL,100,1
Deniliquin,654,2025-02-26T14:38:43Z,2025-02-26T03:39:31Z,GTAPure4,255,Commodus CL,100,1
Deniliquin,656,2025-02-26T14:54:02Z,2025-02-26T03:55:04Z,GTAPure5,304,Spartacus CL,100,1
Deniliquin,659,2025-02-26T15:25:29Z,2025-02-26T04:26:28Z,GTAPure6,337,Westminster,71,1
Deniliquin,659,2025-02-26T15:25:29Z,2025-02-26T04:26:28Z,GTAPure6,337,Planet,26,2
Deniliquin,657,2025-02-26T15:08:58Z,2025-02-26T04:10:16Z,GTAPure7,295,Planet,100,1
Deniliquin,658,2025-02-26T15:14:58Z,2025-02-26T04:16:01Z,GTAPure8,301,Bass,100,1
Deniliquin,661,2025-02-26T15:46:32Z,2025-02-26T04:47:26Z,GTAPure9,295,La Trobe,92,1
Deniliquin,661,2025-02-26T15:46:32Z,2025-02-26T04:47:26Z,GTAPure9,295,Spartacus CL,4,2
Donald Bunker,644,2025-02-26T11:17:04Z,2025-02-26T00:18:09Z,GTAMix1,331,Bass,87,1
Donald Bunker,644,2025-02-26T11:17:04Z,2025-02-26T00:18:09Z,GTAMix1,331,Maximus CL,12,2
Donald Bunker,653,2025-02-26T13:51:00Z,2025-02-26T02:51:48Z,GTAMix10,318,Maximus CL,64,1
Donald Bunker,653,2025-02-26T13:51:00Z,2025-02-26T02:51:48Z,GTAMix10,318,Bass,36,2
Donald Bunker,654,2025-02-26T14:01:45Z,2025-02-26T03:02:45Z,GTAMix11,316,La Trobe,52,1
Donald Bunker,654,2025-02-26T14:01:45Z,2025-02-26T03:02:45Z,GTAMix11,316,Maximus CL,48,2
Donald Bunker,655,2025-02-26T14:12:57Z,2025-02-26T03:13:45Z,GTAMix12,293,Planet,54,1
Donald Bunker,655,2025-02-26T14:12:57Z,2025-02-26T03:13:45Z,GTAMix12,293,Spartacus CL,46,2
